date,5. volume,4. close,2. high,1. open,3. low
2014-05-23,1125600.0,4.49,4.57,4.0,4.0
2014-05-27,218000.0,4.46,4.87,4.7,4.32
2014-05-28,105300.0,4.75,4.9,4.6,4.6
2014-05-29,57600.0,4.8,4.95,4.8,4.7
2014-05-30,78100.0,4.7,4.7899,4.7,4.6
2014-06-02,244300.0,5.25,5.4,4.7,4.7
2014-06-03,367300.0,5.8,6.45,5.48,5.31
2014-06-04,175000.0,6.05,6.1999,6.0,5.85
2014-06-05,251600.0,6.47,6.95,6.37,6.1
2014-06-06,268500.0,6.22,6.65,6.54,6.11
2014-06-09,55500.0,6.38,6.38,6.1,6.1
2014-06-10,60600.0,6.26,6.65,6.65,6.13
2014-06-11,25700.0,6.33,6.4,6.3,6.28
2014-06-12,110200.0,6.35,6.5,6.33,5.92
2014-06-13,186500.0,6.07,6.37,6.3,5.7
2014-06-16,76000.0,5.74,6.3,6.3,5.61
2014-06-17,73400.0,5.7,5.8302,5.75,5.7
2014-06-18,161700.0,5.67,5.85,5.75,5.39
2014-06-19,112000.0,5.86,5.9,5.65,5.6
2014-06-20,24800.0,5.87,5.92,5.75,5.7
2014-06-23,63200.0,6.05,6.1,5.95,5.95
2014-06-24,450100.0,6.35,6.75,6.1,6.085
2014-06-25,215700.0,6.82,6.85,6.19,6.1805
2014-06-26,83600.0,6.68,6.95,6.95,6.5
2014-06-27,60600.0,6.6,6.75,6.65,6.4
2014-06-30,83000.0,6.51,6.607,6.55,6.25
2014-07-01,33000.0,6.49,6.5,6.5,6.25
2014-07-02,30400.0,6.43,6.5,6.39,6.32
2014-07-03,20100.0,6.4,6.41,6.4,6.3
2014-07-07,57800.0,6.55,6.55,6.3,6.3
2014-07-08,102600.0,6.5,6.65,6.65,6.0
2014-07-09,26800.0,6.2,6.51,6.51,6.14
2014-07-10,49300.0,6.12,6.4487,6.2,6.1
2014-07-11,75100.0,6.05,6.15,6.15,5.8
2014-07-14,69200.0,5.82,6.09,6.09,5.4
2014-07-15,22500.0,5.7,5.84,5.81,5.68
2014-07-16,8700.0,5.75,5.8497,5.67,5.66
2014-07-17,17800.0,5.85,5.9,5.7,5.7
2014-07-18,27200.0,5.9,6.08,6.0,5.81
2014-07-21,73600.0,6.26,6.46,5.92,5.92
2014-07-22,53700.0,6.34,6.45,6.27,6.22
2014-07-23,24200.0,6.41,6.469,6.45,6.35
2014-07-24,42700.0,6.34,6.47,6.47,6.16
2014-07-25,34100.0,6.2,6.32,6.27,6.19
2014-07-28,25600.0,6.3,6.32,6.3,6.21
2014-07-29,16500.0,6.2,6.3952,6.38,6.15
2014-07-30,7600.0,6.22,6.28,6.28,6.1
2014-07-31,5100.0,6.22,6.3,6.0201,6.0201
2014-08-01,10200.0,6.04,6.17,6.17,6.0201
2014-08-04,23900.0,5.8,6.08,6.08,5.8
2014-08-05,51800.0,5.75,5.85,5.85,5.66
2014-08-06,36400.0,5.82,5.85,5.7,5.7
2014-08-07,8700.0,5.75,5.79,5.76,5.56
2014-08-08,23600.0,5.72,5.81,5.6601,5.58
2014-08-11,19400.0,5.99,6.03,5.92,5.83
2014-08-12,5800.0,5.95,6.0,5.98,5.9198
2014-08-13,3700.0,5.911,6.03,5.93,5.911
2014-08-14,16800.0,6.24,6.24,5.95,5.8999
2014-08-15,37300.0,6.35,6.54,6.54,6.17
2014-08-18,29900.0,6.25,6.4,6.39,6.15
2014-08-19,41700.0,6.18,6.35,6.25,6.08
2014-08-20,2700.0,6.18,6.1891,6.1293,6.1293
2014-08-21,35200.0,5.92,6.14,6.07,5.79
2014-08-22,35500.0,5.77,5.91,5.88,5.63
2014-08-25,45000.0,5.75,5.88,5.76,5.67
2014-08-26,113800.0,6.08,6.12,5.73,5.67
2014-08-27,23000.0,6.01,6.15,6.09,5.89
2014-08-28,31600.0,6.05,6.11,6.0,6.0
2014-08-29,54200.0,6.2,6.39,6.05,6.05
2014-09-02,48700.0,6.19,6.268,6.17,6.14
2014-09-03,33800.0,6.19,6.39,6.3,6.178
2014-09-04,33400.0,6.0,6.23,6.13,6.0
2014-09-05,18800.0,6.01,6.04,6.01,5.91
2014-09-08,30600.0,6.45,6.45,5.97,5.97
2014-09-09,31400.0,6.37,6.45,6.45,6.23
2014-09-10,102300.0,7.06,7.24,6.4,6.3
2014-09-11,72800.0,6.96,7.44,7.03,6.63
2014-09-12,44000.0,7.14,7.24,6.94,6.85
2014-09-15,28500.0,7.19,7.23,7.06,6.85
2014-09-16,90000.0,7.32,7.7,7.2,7.05
2014-09-17,53300.0,7.18,7.5,7.5,6.985
2014-09-18,39200.0,7.12,7.25,7.15,6.6
2014-09-19,81600.0,6.73,7.29,7.0,6.44
2014-09-22,34300.0,6.6,6.7,6.7,6.4
2014-09-23,18700.0,6.67,6.74,6.48,6.41
2014-09-24,17000.0,6.49,6.7173,6.67,6.49
2014-09-25,43000.0,6.4,6.73,6.73,6.2028
2014-09-26,18200.0,6.23,6.55,6.37,6.13
2014-09-29,14400.0,6.44,6.49,6.2,6.11
2014-09-30,34600.0,6.28,6.52,6.52,5.95
2014-10-01,22900.0,6.04,6.28,6.25,6.0
2014-10-02,74500.0,6.0,6.17,6.01,5.5
2014-10-03,28600.0,6.03,6.26,6.15,6.01
2014-10-06,14200.0,6.0,6.09,6.09,5.79
2014-10-07,58600.0,5.64,6.0,5.94,5.51
2014-10-08,47600.0,5.32,5.6,5.6,5.13
2014-10-09,34500.0,5.09,5.29,5.2,5.05
2014-10-10,43700.0,4.95,5.18,5.08,4.61
